angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.01,,,"[1309, 90, 1032, 1371]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1311, 91, 1033, 1368]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1303, 94, 1041, 1339]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1309, 82, 1043, 1365]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1304, 76, 1030, 1354]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1303, 66, 1034, 1369]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1308, 81, 1041, 1327]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1303, 64, 1035, 1374]",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"[1286, 74, 1050, 1335]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1278, 72, 1053, 1333]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1280, 72, 1048, 1329]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1311, 63, 1029, 1368]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.26,,"[1310, 56, 1030, 1372]","[2960, 1937, 53, 68]",,0.0,0.0,,0.0,0.13,,0.99,0.03,,0.0,0.08,,0.01,0.49,,0.0,0.01,
0.0,,,"[1312, 54, 1028, 1372]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1312, 51, 1027, 1374]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1297, 60, 1038, 1339]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1302, 57, 1037, 1341]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1300, 57, 1035, 1340]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1301, 50, 1038, 1350]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.24,,"[1319, 50, 1039, 1342]","[1214, 1732, 26, 33]",,0.0,0.03,,0.0,0.1,,1.0,0.18,,0.0,0.05,,0.0,0.39,,0.0,0.01,
0.0,0.26,,"[1335, 97, 995, 1292]","[674, 751, 571, 639]",,0.0,0.0,,0.0,0.1,,1.0,0.03,,0.0,0.03,,0.0,0.58,,0.0,0.0,
0.0,0.29,0.37,"[1330, 64, 1038, 1323]","[670, 751, 576, 643]","[2983, 1921, 49, 62]",0.0,0.0,0.0,0.0,0.09,0.1,1.0,0.02,0.15,0.0,0.04,0.07,0.0,0.55,0.29,0.0,0.0,0.01
0.0,0.19,,"[1332, 61, 1036, 1323]","[664, 762, 587, 649]",,0.0,0.0,,0.0,0.11,,1.0,0.03,,0.0,0.04,,0.0,0.62,,0.0,0.0,
0.0,0.32,,"[1324, 24, 1042, 1375]","[659, 766, 587, 645]",,0.0,0.0,,0.0,0.12,,1.0,0.03,,0.0,0.05,,0.0,0.47,,0.0,0.0,
0.0,0.15,0.32,"[1326, 17, 1048, 1382]","[647, 764, 588, 656]","[836, 2053, 26, 31]",0.0,0.0,0.0,0.0,0.13,0.11,1.0,0.04,0.29,0.0,0.04,0.02,0.0,0.64,0.25,0.0,0.0,0.01
0.0,,,"[1329, 13, 1048, 1386]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1336, 19, 1046, 1381]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1349, 38, 1028, 1374]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1342, 20, 1041, 1375]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1345, 21, 1039, 1369]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.19,,"[1349, 26, 1034, 1360]","[3002, 1902, 57, 74]",,0.0,0.0,,0.0,0.07,,1.0,0.02,,0.0,0.14,,0.0,0.57,,0.0,0.01,
0.0,,,"[1353, 26, 1031, 1357]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1357, 29, 1028, 1354]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.37,,"[1358, 27, 1029, 1353]","[1262, 1712, 28, 36]",,0.0,0.02,,0.0,0.11,,1.0,0.1,,0.0,0.03,,0.0,0.37,,0.0,0.01,
0.0,,,"[1360, 27, 1028, 1352]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1361, 27, 1027, 1350]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.24,,"[1361, 26, 1028, 1351]","[1268, 1708, 27, 34]",,0.0,0.03,,0.0,0.12,,1.0,0.12,,0.0,0.06,,0.0,0.42,,0.0,0.01,
0.0,,,"[1362, 28, 1026, 1347]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1362, 30, 1024, 1347]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1363, 30, 1020, 1346]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.02,,"[1361, 28, 1021, 1346]","[606, 746, 671, 752]",,0.0,0.0,,0.0,0.09,,1.0,0.01,,0.0,0.01,,0.0,0.88,,0.0,0.0,
0.0,0.02,,"[1359, 23, 1027, 1357]","[605, 747, 670, 750]",,0.0,0.0,,0.0,0.09,,1.0,0.01,,0.0,0.01,,0.0,0.88,,0.0,0.0,
0.0,,,"[1363, 28, 1023, 1354]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1364, 31, 1020, 1351]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
